district_std,filename,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std
sahaaranapur,AC006_S24A006P258, 258praathamik vidhaalay kamaraa nambar  2joulaa dimdoulee ,jaalaa dimdoolee ,jaalaa dimdoolee,praathamik vidhaalay kamaraa nambar 2joulaa dimdoulee
bulandasahar,AC066_S24A066P386, 386ghumgharaavalee intar kaalij ,ghugharaavalee ,ghugharaavalee,ghumgharaavalee intar kaalij
phiroojaabaad,AC095_S24A095P302, 302praa0avi0 gathee loukee ,naarakhee thaalal‍lukaa ,naarakhee thaalallukaa,praa0avi0 gathee loukee
haapud,AC059_S24A059P081, 81es0 es0 vee0 i0 kaalij haapud k0an0  6,haapud ,haapud,es0 es0 vee0 i0 kaalij haapud k0an0
pharrookhaabaad,AC193_S24A193P317, 317putharee ,putharee ,putharee,putharee
kaanapur nagar,AC216_S24A216P070, 70chhaavanee parishad baalikaa joo haa skool paanee kee tamkee ke paas meerapur kaksh sam  ९,kaanapur chhaavanee parishad ,kaanapur chhaavanee parishad,chhaavanee parishad baalikaa joo haa skool paanee tamkee meerapur sam
goutham buddh nagar,AC062_S24A062P235, 235praa0 paa0 daadaree k0anam0  3,daadaree ,daadaree,praa0 paa0 daadaree k0anam0
ilaahaabaad,AC254_S24A254P323, 323praathamik vidyaalay hathigahaam d൦ bhaag ,rasoolapur ch൉adhan ,rasoolapur chadhan,praathamik vidyaalay hathigahaam d bhaag
kaanapur dehaath,AC207_S24A207P303, 303praathamik vidyaalay mad഼aadev ,mood഼aadev ,moodaadev,praathamik vidyaalay madaadev
lakhanaoo,AC171_S24A171P278, 278altraa maardan maantesaree skool lakadamandee saaadathagamj kaksh samkhyaa-2 ,lakhanaoo ,lakhanaoo,altraa maardan maantesaree skool lakadamandee saaadathagamj samkhyaa2
ilaahaabaad,AC256_S24A256P386, 386joo0 haa0 skool jamuneepur paschimee bhaag ,jamuneepur ,jamuneepur,joo0 haa0 skool jamuneepur paschimee bhaag
haradooee,AC157_S24A157P208, 208praa0apaa൦ kapoorapur choudhee ,kaakoopur choudhee ,kaakoopur choudhee,praa0apaa kapoorapur choudhee
gaajeepur,AC376_S24A376P139, 139praa0 paa0 sahaabudadeenapur (poo0achhoor ,sahaabuddeenapur ,sahaabuddeenapur,praa0 paa0 sahaabudadeenapur poo0achhoor
baharaaich,AC286_S24A286P153, 153mahaaraaj simh iam0akaa൦-naveen bhavan kaanoonagoopuraa k0anam൦-2 ,baharaaich ,baharaaich,mahaaraaj simh iam0akaanaveen kaanoonagoopuraa k0anam2
haradooee,AC158_S24A158P002, 2ho Fo glo akhavelapur malavaa ,malavaa akhavelapur ,malavaa akhavelapur,2ho fo glo akhavelapur malavaa
phaijaabaad,AC274_S24A274P418, 418poorv maadhyamik vidyaalay mahaavaam kaksh samkhyaa  2,mahaavaa ,mahaavaa,poorv maadhyamik vidyaalay mahaavaam samkhyaa
sambhal,AC111_S24A111P104, 104praa0apaa൦ k0an0൧ thumariyaa khaadar ,thumariyaa khaadar ,thumariyaa khaadar,praa0apaa k0an0 thumariyaa khaadar
baaraabamkee,AC270_S24A270P016, 16praa0avi0 kevalaapur kaksh sam0  1,kevalaapur ,kevalaapur,praa0avi0 kevalaapur sam0
sulthaanapur,AC187_S24A187P269, 269praa൦avi൦ ooഁachagaamv ,uchagaamv ,uchagaamv,praaavi ooachagaamv
phararookhaabaad,AC195_S24A195P298, 298jaraaree ,jaraaree ,jaraaree,jaraaree
gaajeepur,AC373_S24A373P012, 12janathaa intar kaa0 bhaalaa khurd (d.chhoor ,Wen we ,wen we,janathaa intar kaa0 bhaalaa khurd dchhoor
ilaahaabaad,AC264_S24A264P193, 193ranajeeth pamdith i൦akaa൦ loohagaraa kaksh sam  २,neebee ,neebee,ranajeeth pamdith iakaa loohagaraa sam
kuseenagar,AC334_S24A334P361, 361pam0abh0amoo0aj0 sikatiyaa ,moohamdaajameen ,moohamdaajameen,pam0abh0amoo0aj0 sikatiyaa
phiroojaabaad,AC098_S24A098P212, 212praa0apaa0 nagalaa raghool ,naavalee ,naavalee,praa0apaa0 nagalaa raghool
bijanour,AC022_S24A022P395, 395praa0 vi0 khaaree kaksh  2,khaaree ,khaaree,praa0 vi0 khaaree
ilaahaabaad,AC257_S24A257P124, 124praathamik vidyaalay souraa d0 bhaag ,souraa ,souraa,praathamik vidyaalay souraa d0 bhaag
gaajeepur,AC379_S24A379P083, 83praa൦paa൦ nariyaamv oorph umaragamj (madhy ,nariyaaഁav urph ,nariyaaav urph,praapaa nariyaamv oorph umaragamj madhy
