district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
unnaav, 196praa൦ vi൦ uththar maharaamaoo ,maharaamaoo ,maharaamaoo,praa vi uththar maharaamaoo,praa vi maharaamaoo
saahajahaaapur," 342praathamik vidhaalay, p0 kaksh  2,ghusagavaam ",ghusagavaa ,ghusagavaa,praathamik vidhaalay p ghusagavaam,vidhaalay ghusagavaam
basthee, 10praathamik vidyaalay harigaamv pvee ,pereepookhar ,pereepookhar,praathamik harigaamv pvee,harigaamv
bijanour, 321praa0apaa൦ vijay namgalaa ,vijay namgalaa ,vijay namgalaa,praa apaa vijay namgalaa,praaepaa vijay namgalaa
sulthaanapur, 65praa0avi0 harinaraayanapur kaksh02 ,naraayanapur ,naraayanapur,praa avi harinaraayanapur kaksh,praa avi harinaraayanapur
aagaraa, 272chunneelaal pablik i0ak൉൦ k0anam൦  2,aagaraa ,aagaraa,chunneelaal pablik i ak k anam,chunneelaal pablik i akaa saahadaraa
haapud, 100laalaa baaboo bemjal maimooriyal i0akaa0 loodheepur soovan ,loodheepur chhapakaa ,loodheepur chhapakaa,laalaa baaboo bemjal maimooriyal i akaa loodheepur soovan,laalaa baaboo bemjal maimooriyal sect kaalij loodheepur
jhhaamsee, 37saradaar patel i0akaa0 chiragaamv-1 ,chiragaamv ,chiragaamv,saradaar patel i akaa chiragaamv,saradaar patel intar kalej chiragaaav
maoo, 350baapoo i൦kaa൦akoopaagamj m൦ bhaag ,laad഼anapur ,laadanapur,baapoo ikaaakoopaagamj m,baapoo iakaaakoopaagamj
phiroojaabaad, 312pamchaayath ghar nagalaa raamaa ,nagalaa WAT ,nagalaa wat,pamchaayath nagalaa raamaa,nagalaa raamaa
kuseenagar, 50praa0 paa0 visunapuraa ,visunapuraa ,visunapuraa,praa paa visunapuraa,praa paa visunapuraa
kannouj, 96praa0apaa0 medepur ,chandrapur ,chandrapur,praa apaa medepur,praa apaa medepur
seethaapur, 403praa0avi0 mahamoodapur m0 kurverapur lachchhaa k0anam0-1 ,kuvarapuralachchhaa ,kuvarapuralachchhaa,praa avi mahamoodapur m kurverapur lachchhaa k anam,praa avi mahamoodapur m kurverapur lachchhaa
kaasagamj, 198praa0apaa0 thaiyabapur kamaalapur HO nam0  २,NA,NA,praa apaa thaiyabapur kamaalapur ho nam,praaepaa thaiyabapur kamaalapur
kuseenagar, 194jooniyar haaee skool sivapur bujurg kaksh n  ०२,sivapur bujurg ,sivapur bujurg,jooniyar haaee skool sivapur bujurg,jooniyar haaee skool sivapur bujurg
goorakhapur, 217navanirmith praa0apaa0 dulaharaa kaksh sam0  2,silhataa ,silhataa,navanirmith praa apaa dulaharaa sam,navanirmith praa apaa dulaharaa
ilaahaabaad, 70mootheelaal neharoo raashtreey proudyoogikee samsthaan theliyaragamj kamaraa nam-4 ,ilaahaabaad ,ilaahaabaad,mootheelaal neharoo raashtreey proudyoogikee samsthaan theliyaragamj kamaraa nam,mootheelaal neharoo raashtreey proudayoogikee samsthaan
baliyaa, 309praa0apaa0 khad഼asaraa madhy ,khad഼asaraa ,khadasaraa,praa apaa khadasaraa madhy,praaepaa khadasaraa
chithrakoot, 361praathamik vidyaalay dilouraa-u0abhaag ,dilouraa ,dilouraa,praathamik dilouraau abhaag,dilouraa
basthee, 466praathamik vidyaalay hatavaa paschimee ,hatavaa ,hatavaa,praathamik hatavaa,hatavaa
goorakhapur, 58s0asi0am0 pak‍keebaag hamaayoopur k0anam01 ,goorakhapur ,goorakhapur,s asi am pakkeebaag hamaayoopur k anam,saa si am pakkeebaag hamaayoopur
barelee, 81praa0 paa0 malhapur kamaraa nam0  .२,Aes ,aes,praa paa malhapur kamaraa nam,praa paa malhapur
haradooee, 165praa0apaa0 choupaaratoolaa k0anam0  २n0apaa0apari൦ ,sandeelaa ,sandeelaa,praa apaa choupaaratoolaa k anam n apaa apari,praanpaa choupaar toolaa sandeelaa nagpaagp
prathaapagadh, 137praa0 vi0 precharan ,Wate ,wate,praa vi precharan,praa vi poorecharan
prathaapagadh, 368praa0 vi0 jalaalapur k0as0  २,jalaalapur kithoulee ,jalaalapur kithoulee,praa vi jalaalapur k as,praa vi jalaalapur
baliyaa, 215pamchaayath bhavan maireetaar ,maireetaar ,maireetaar,pamchaayath maireetaar,maireetaar
merath, 205uchch praa0 vi0 k0 nam0-2 mavaanaa khurd (naarmal skool ,dudhalee baamgar ,dudhalee baamgar,uchch praa vi k nam mavaanaa khurd naarmal skool,praa vi mavaanaa khurd naarmalar skool
ilaahaabaad, 129praathamik vidyaalay gariyaavaa dakshinee bhaag ,abdullaapur ,abdullaapur,praathamik gariyaavaa,vidayaalay gariyaaavaa
bulandasahar, 263bhoupur praaeemaree skool ,bhoopur ,bhoopur,bhoupur praaeemaree skool,bhoupur praaeemaree skool
goorakhapur, 214praa0 vi0 barahaj paschim ,barahaj mu0 ,barahaj mu,praa vi barahaj paschim,praa vi barahaj
seethaapur, 23praa0avi0 kundee ,kundee ,kundee,praa avi kundee,praa avi kundee
ambedakar nagar, 110sumithraa jethalee sivasamkar tamdan uchch maadhyamik kanyaa vi0 akabarapur madhy kaksh  2,akabarapur ,akabarapur,sumithraa jethalee sivasamkar tamdan kanyaa vi akabarapur madhy,su aje asi asam maa kanyaa akabarapur
barelee, 277praa൦ paa൦ sahasaa ,sahasaa ,sahasaa,praa paa sahasaa,praa paa sahasaa
baaraabamkee, 81praa0 vi0 auramgaabaad kaksh sam0  १,auragaabaad ,auragaabaad,praa vi auramgaabaad sam,praa vi auramgaabaad
ambedakar nagar, 36praathamik vidyaalay machhaleegaamv (uththaree ,machhaleegaamv ,machhaleegaamv,praathamik machhaleegaamv,machhaleegaamv
raay barelee, 329madathapur ,madathapur ,madathapur,madathapur,praa aevi madadapur
jhhaamsee, 296daa raadhaakrishnan iam kaa khaatheebaabaa rood bhaag-2 ,jhhaaഁasee ,jhhaaasee,296daa raadhaakrishnan iam khaatheebaabaa rood bhaag2,daa raadhaakrishnan i kaa khaatheebaabaa rood
haradooee, 40praa൦anpaa൦ laroomaamaoo k0an0  ९,loomaamaooam ,loomaamaooam,praaanpaa laroomaamaoo k an,praapaa loomaamaoo
ambedakar nagar, 209praathamik vidyaalay malikapur ,malikapur ,malikapur,praathamik malikapur,malikapur
balaraamapur, 280praa0apaa0 mahaaraajagamj u0 bhaag ,mahaaraajagamj ,mahaaraajagamj,praa apaa mahaaraajagamj u,praaepaa maharaajagamj
goorakhapur, 23praa0apaa0akusumhee k0asam0  2,kusumhee koothee ,kusumhee koothee,praa apaa akusumhee k asam,praae apaa kusumhee
goorakhapur, 88raamaavadh jaayasavaal k0avi0 saahapur geethaavaatikaa k0an003 ,goorakhapur ,goorakhapur,raamaavadh jaayasavaal k avi saahapur geethaavaatikaa k an,raamaavadh jaayasavaal k avi saahapur geethaavaatikaa
seethaapur, 107praa0avi0 mood഼aasaanee ,mood഼aasaanee ,moodaasaanee,praa avi moodaasaanee,praa avi moodaasaanee
ambedakar nagar, 200praathamik vidyaalay am൉alee moohiuddeenapur dakshinee kaksh ,amaaoulee mooheeuddeenapur ,amaaoulee mooheeuddeenapur,praathamik amalee moohiuddeenapur,amoulee moohiuddeenapur
haatharas, 49praa0 paa0 hadailaa ,hadelaa ,hadelaa,praa paa hadailaa,praa paa hadailaa
haradooee, 173n0apaa0apari0 sandeelaa baraamadaa n0apaa0apari൦ ,sandeelaa ,sandeelaa,n apaa apari sandeelaa baraamadaa n apaa apari,nagar paalikaa pari sandeelaa
jaaloun, 442jooniyar haaee skool chathelaa kaksh samkhyaa  1,chathelaa ,chathelaa,jooniyar haaee skool chathelaa samkhyaa,jooniyar haaee skool chathelaa
aajamagadh, 389praa0avi0 simdhounaa pratham kaksh-2 ,sidhounaa ,sidhounaa,praa avi simdhounaa pratham kaksh,praaevi sidhounaa pratham
lakhanaoo, 111lakhanaoo krischiyan trenimg kaalej kaksh samkhyaa-2 ,lakhanaoo ,lakhanaoo,lakhanaoo krischiyan trenimg kaalej samkhyaa,lakhanau krischiyan trenimg kaalej haaspital rood
mirjaapur, 214praa0avi0 pounee ,pounee ,pounee,praa avi pounee,praa avi pounee
ilaahaabaad, 59brijabihaaree sahaay intar kaalej sivakutee kamaraa nam-10 ,ilaahaabaad ,ilaahaabaad,brijabihaaree sahaay intar kaalej sivakutee kamaraa nam,brijabihaaree sahaay intar kaalej sivakutee
chithrakoot, 299praathamik vidyaalay maanapur  -poo0 bhaag ,maanapur ,maanapur,praathamik maanapur poo,maanapur
balaraamapur, 478praa0apaa൦ badaharaa bhitouraa poo൦ bhaag ,bad഼aharaa bhitouraa ,badaharaa bhitouraa,praa apaa badaharaa bhitouraa poo,praa paa badaharaa bhitouraa
goondaa, 103praa0 paa0 bahaloolapur athirikth kaksh ,bahaloolapur ,bahaloolapur,praa paa bahaloolapur,praa paa bahaloolapur
kheeree, 335makasoothapur ,makasoodapur ,makasoodapur,makasoothapur,praa paa makasoodapur
seethaapur, 376praa0avi0 harakheebehad ,gour choukhadiyaa ,gour choukhadiyaa,praa avi harakheebehad,praa avi harakheebehad
sahaaranapur, 250poorv maadhyamik vidyaalay dakshinee bhaag kamaraa nambar soonaa ,soonaa ,soonaa,poorv kamaraa nambar soonaa,soonaa
kuseenagar, 24joo0ahaa0askool sirajam toolaa kaksh nam0൨ ,gouree sreeraam ,gouree sreeraam,joo ahaa askool sirajam toolaa nam,joo ahaa askool sirajam toolaa
gaajiyaabaad, 301sarasvathee vidhaa mandir sai0  9raajanagar ,gaajiyaabaad ,gaajiyaabaad,sarasvathee vidhaa sai raajanagar,sarasvathee vidhaa sai raajanagar
kaanapur nagar, 291bee.es.es.em memooriyal skool kulagaamv kaksh s.1 ,kaanapur ,kaanapur,beeesesem memooriyal skool kulagaamv s,beeesesem memooriyal skool kulagaamv
mathuraa, 55praa0 vi0 th൉agadaa kooseekalaam k0 nam0  2,kooseekalooaam ,kooseekalooaam,praa vi thagadaa kooseekalaam k nam,praa avi thaamgadaa kooseekalaam
aajamagadh, 276praa0avi0 doulathaabaad kaksh sam0-൧ u0abhaa0 ,doulathaabaad ,doulathaabaad,praa avi doulathaabaad sam u abhaa,praaevi doulathaabaad
chandoulee, 95baa൦akeenraa൦ai൦kaa൦ raamagadh kaksh Ao  ५,raamagadh഼ ,raamagadh,baaakeenraaaikaa raamagadh ao,go fo so hlo was
kannouj, 341praa0apaa0 phiroojapur ,thrimukhaa ,thrimukhaa,praa apaa phiroojapur,praaepaa phiroojapur
ambedaphar nagar, 411raamabaabaa vidyaa mamdir intar kaalej barahaa kaksh samkhyaa  4,atharouraa ,atharouraa,raamabaabaa vidyaa mamdir intar kaalej barahaa samkhyaa,raamabaabaa vidyaa mamdir intar kaalej barahaa
raamapur, 166praathamik vidyaalay kaksh sam0-3 teharee khvaajaa ,teharee khvaajaa ,teharee khvaajaa,praathamik sam teharee khvaajaa,teharee khvaajaa
ad, 144dee൦ae൦avee൦ai൦akaa൦apuraabal‍lee ,maoonaath bhamjan ,maoonaath bhamjan,deeaeaveeaiakaaapuraaballee,deeaeaveeaiakaagpuraaballee
kheeree, 160kaaleecharanapur m0 jamaiyathapur ,jamaiyaththapur ,jamaiyaththapur,kaaleecharanapur m jamaiyathapur,praa paa kaaleecharanapur m jamaiyathapur
ambedakar nagar, 379praathamik vidyaalay roodaoopur kaksh samkhyaa-2 ,roodaoopur ,roodaoopur,praathamik roodaoopur samkhyaa,roodaoopur
goondaa, 5praa0 paa0 visunaapur belabhariyaa k0 n0  1,visanaapur belabhariyaa ,visanaapur belabhariyaa,praa paa visunaapur belabhariyaa k n,praa paa visunaapur belabhariyaa
goorakhapur, 213praa0 paa0 thigharaa patavaaree ,thigharaapatavaaree ,thigharaapatavaaree,praa paa thigharaa patavaaree,praa paa thigharaa patavaaree
mathuraa, 289praanvi൦ maamtaraajaa kann൦  1,maamt raajaa baamgar ,maamt raajaa baamgar,praanvi maamtaraajaa kann,praa avi maamtaraajaa
goutham buddh nagar, 35praa0 skool ghamghoulaa k0an0  2,NA,NA,praa skool ghamghoulaa k an,praa skool ghamghoulaa
baharaaich, 112praa0apaa൦ digithapuravaa athirikth kaksh ,digithaapuravaa ,digithaapuravaa,praa apaa digithapuravaa,praagpaa digithapuravaa
vaaraanasee, 113praa0apaa0 dalaleepur ,dalleepur ,dalleepur,praa apaa dalaleepur,praa paa dalleepur
siddhaarthanagar, 49mehadaanee ,NA,NA,mehadaanee,praa vi mehadaanee
sulthaanapur, 98praa൦avi൦ goovindapur makhadoomapur ,goovindapur ,goovindapur,praaavi goovindapur makhadoomapur,praa vi goovindapur makhadoomapur
kuseenagar, 339praa0apaa0 dharamapur ,dharamapur ,dharamapur,praa apaa dharamapur,praaepaa dharamapur
baliyaa, 28praa0apaa0abahaadurapur mu0 bahamaaeen (m0 ,bahaadurapur ,bahaadurapur,praa apaa abahaadurapur mu bahamaaeen m,praaepaa abahaadurapur mu bahamaaeen
saamalee, 289nagar paalikaa parishad k0 n0  3kaamdhalaa ,kaathadhalaa ,kaathadhalaa,nagar paalikaa parishad k n kaamdhalaa,nagar paalikaa parishad kaamdhalaa
aleegadh, 201aadars vighaa mandir joo0 haa0 skool mithranagar kamaraa n0  2,aleegadh഼ ,aleegadh,aadars vighaa joo haa skool mithranagar kamaraa n,aadars vighaa joo ahaa skool mithranagar
baliyaa, 152praa0 paa0 muhammadapur poo൦ ,muhammadapur ,muhammadapur,praa paa muhammadapur poo,praa paa muhammadapur
sulthaanapur, 131praa൦avi൦ aiamjar ,aiamjar ,aiamjar,praaavi aiamjar,praa vi aiamjar
bijanour, 386praa0avi0asaidapureemaheechand ,saidapuramaheechand ,saidapuramaheechand,praa avi asaidapureemaheechand,praaevi asaidapureemaheechand
basthee, 337praathamik vidyaalay goosaisimhapur ,gasaiseepur ,gasaiseepur,praathamik goosaisimhapur,goosaisimhapur
jounapur, 246poo0amaa0avi0 phaththoopur ,phaththoopur ,phaththoopur,poo amaa avi phaththoopur,poo amaa avi phaththoopur
raay barelee, 266jahaanapur koodar ,jahaanapur koodar ,jahaanapur koodar,jahaanapur koodar,praa vi jahaanapur koodar
goorakhapur, 50praa0 paa0 malaamv ,ATS ,ats,praa paa malaamv,praa paa malaamv
bhadoohee, 43praa0avi0 roohee k0asam0-1 ,roohee ,roohee,praa avi roohee k asam,praa avi roohee
mainapuree, 421praa0 paa0 bhaarathapur ,jooth ,jooth,praa paa bhaarathapur,bhaarathapar
goondaa, 408praaimaree paathasaalaa poo0 bhaag semaraa sekhapur ,semaraasekhapur ,semaraasekhapur,praaimaree paathasaalaa poo semaraa sekhapur,praaimaree paathasaalaa semaraa sekhapur
muraadaabaad, 15praa0 skool narakhedaa kaksh-1 ,narakhedaa ,narakhedaa,praa skool narakhedaa kaksh,praa askool narakhedaa
peeleebheeth, 225mahooliyaa ,mahoolriyaa ,mahoolriyaa,mahooliyaa,praanaskool mahooliyaa
goorakhapur, 170naveen praa0 paa0 atharoolee kam0anam0  2,atharoulee ,atharoulee,naveen praa paa atharoolee kam anam,naveen praa paa atharoolee
aajamagadh, 257praa0avi0 khaleelaabaad ,khalilaabaad ,khalilaabaad,praa avi khaleelaabaad,praa avi khaleelaabaad
sulthaanapur, 250praa0avi0 jaithapur bhitaar kaksh sam01 ,vasaavanapur ,vasaavanapur,praa avi jaithapur bhitaar sam,praa avi jaithapur bhitaar
vaaraanasee, 110thulasee nikethan baa0ai0akaalej khajooree kaksh sam0  2,vaaraanasee ,vaaraanasee,thulasee nikethan baa ai akaalej khajooree sam,thulasee nikethan baa ai kaalej khajuree
phathehapur, 40sukadev intar kaalej khaagaa kaksh sam0-3 ,khaagaa ,khaagaa,sukadev intar kaalej khaagaa sam,sukadev intar kaalej khaagaa
peeleebheeth, 57amariyaa ,amariyaa ,amariyaa,amariyaa,raa ai akaa amariyaa
garaget, 216sabalapur praaeemaree skool k൦n൦൯ ,sabalapur ,sabalapur,sabalapur praaeemaree skool kn,sabalapur praaeemaree skool
lakhanaoo, 91praa.vi unaee kaksh sam0-1 ,unaee ,unaee,praavi unaee sam,praavi unaee
itaavaa, 374praa0 paa0 rathanoopuraa ,rathanoopuraa ,rathanoopuraa,praa paa rathanoopuraa,praa paa rathanoopuraa
maoo, 196praa0apaa0 kuchaaee ,inaameepur ,inaameepur,praa apaa kuchaaee,praa apaa kuchaaee
saamalee, 147poorv maadhyamik vidhaalay k0 nam0 1abalavaa ,balavaa ,balavaa,poorv vidhaalay k nam abalavaa,balavaa
sraavasthee, 136preadhaaree ,bhitathee ,bhitathee,preadhaaree,praa avi hariharapuraraanee thahaseel preadhaaree
raamapur, 131praathamik vidyaalay sarakadee ,sarakadee ,sarakadee,praathamik sarakadee,sarakadee
auraiyaa, 311nagar paa0ai0akaa0 aureyaa k0anam0  3,auraiyaa ,auraiyaa,nagar paa ai akaa aureyaa k anam,nagar paa ai akaa auraiyaa
aagaraa, 14praa0avi0 gadhee oodaa (toomdaraa)k.n.1 ,toodaraa ,toodaraa,praa avi gadhee oodaa toomdaraakn,praaevi gadhee oodaa tamdaraa
goorakhapur, 127praaevi0 alagatapur k0asam02 ,alagatapur ,alagatapur,praaevi alagatapur k asam,praaevi alagatapur
mirjaapur, 123praa0 vi0 gadoulee ,gadoulee ,gadoulee,praa vi gadoulee,praa vi gadoulee
saahajahaaapur, 166praa0apaa0agiudee ,giudee ,giudee,praa apaa agiudee,praa apaa guddee
badaayoom, 138praa0avi0 mirjaapur sooharaa k0anam0  2,mijoueepur soorahaa ,mijoueepur soorahaa,praa avi mirjaapur sooharaa k anam,praa skool mirjaapur sooharaa
mujaphpharanagar, 78praathamik skool kamaraa nam0-2 yusuphapur ,yusuphapur ,yusuphapur,praathamik skool kamaraa nam yusuphapur,vidvaalay yusuphapur
lakhanaoo, 248sooaa phaathimaa pae0 garls intar kaalej kesav nagar kaksh samkhyaa-6 ,NA,NA,sooaa phaathimaa pae garls intar kaalej kesav nagar samkhyaa,sooaa phaathimaa p garls intar kaalej kesav nagar
raamapur, 53poorv maadhyamik vidyaalay jithaniyaa khajoor ,jithaniyaa jaageer ,jithaniyaa jaageer,poorv jithaniyaa khajoor,jithaniyaa jaageer
chandoulee, 42praa൦paansudaamv kaksh sam൦  -२,sudaamv ,sudaamv,praapaansudaamv sam,praaepaa sudaav
vaaraanasee, 273praa0apaa0 simndhooraa k0asam0  3,sindhooraa ,sindhooraa,praa apaa simndhooraa k asam,praaepaa sindhooraa
bijanour, 367praa൦avi0 dahalaavaalaa kaksh s0  १,dahalaavaalaa ,dahalaavaalaa,praaavi dahalaavaalaa s,praaevi dahalaavaalaa
goorakhapur, 165praa0apaa0 mahadevaa jamgal kaksh sam01 ,Aeled seat ,aeled seat,praa apaa mahadevaa jamgal sam,praaepaa mahaadevaa jamgal
seethaapur, 255janathaa joo0ahaa൦askool bakahaaam k0anam0  1,bakahavaa ,bakahavaa,janathaa joo ahaaaskool bakahaaam k anam,janathaa joo ahaaaskool bakahaaaam
kheeree, 34sivapuree m0 saahabagamj grant ,saahabagamjagrant ,saahabagamjagrant,sivapuree m saahabagamj grant,praa avi sivapuree m saahabagamj grant
mujaphpharanagar, 8praathamik vidhaalay saranaavalee k0an0  2,saranaavalee ,saranaavalee,praathamik vidhaalay saranaavalee k an,vidhaalay saranaavalee
pharrookhaabaad, 418madhiyaa majaraa imaadapur samaacheepur ,imaadapur samaacheepur ,imaadapur samaacheepur,madhiyaa majaraa imaadapur samaacheepur,praaimaree paathasaalaa madhiyaa majaraa imaadapur samaacheepur
goutham buddh nagar, 187praa0 paa0 hoosiyaarapur kam0 nam0  4,NA,NA,praa paa hoosiyaarapur kam nam,praaepaa hoosiyaarapur
badaayoom, 10praa vidhaalay meeraapur k nam.-1 ,meeraapur ,meeraapur,praa vidhaalay meeraapur nam,vidhaalay meeraapur
lakhanaoo, 87praa.vi baajapur saat Hat sam0-1 ,baajapur gegouraa ,baajapur gegouraa,praavi baajapur saat hat sam,praavi baajapur gamgaaaraa
sahaaranapur," 198praathamik vidyaalay madhy bhaag kaksh nambar-3, kulasath ",kulasath ,kulasath,praathamik madhy nambar kulasath,kulasath
baharaaich, 357praa൦paa ൦-tediyaa k൦ nam൦-1 ,NA,NA,praapaa tediyaa k nam,praa apaatediyaa
ambedakar nagar, 304praathamik vidyaalay ahalaade paschimee kaksh ,mamsaapur ,mamsaapur,praathamik ahalaade,ahalaade
kuseenagar, 125praa൦ paa൦ indarapur kaksh-1 ,indarapur ,indarapur,praa paa indarapur kaksh,praa paa indarapur
lakhanaoo, 44maam bhagavathee vidyaa mamdir pablik skool paaraa kaksh samkhyaa-4 ,lakhanaoo ,lakhanaoo,maam bhagavathee vidyaa mamdir pablik skool paaraa samkhyaa,maam bhagavathee vidyaa mamdir pablik skool paaraa
baharaaich, 63praa0avi൦-piparahavaa k0anam൦-൧ ,piparahavaa ,piparahavaa,praa avipiparahavaa k anam,praaevipiparahavaa
aajamagadh, 119praa0avi0 baravaa saagar kaksh  २,baravaasaagar ,baravaasaagar,praa avi baravaa saagar,praa vi baravaa saagar
badaayoom, 51phaijagamj joo haa skool mirjaapur behataa uththaree bhaag k nam.-൩ ,phaijagamj ,phaijagamj,phaijagamj joo haa skool mirjaapur behataa nam,joo haa skool mirjaapur behataa
phiroojaabaad, 19thaa.thaaraasimh i.kaa.nousaharaa k.nam.൧ ,nousaharaa ,nousaharaa,thaathaaraasimh ikaanousaharaa knam,thaa thaaraa simh i kaa nousaharaa
phaijaabaad, 152e0aaaee0atee0aintar kaalej jaganapur dakshinee ,jaganapur ,jaganapur,e aaaee atee aintar kaalej jaganapur,e aaaee atee intar kaalej jaganapur
prathaapagadh, 280praa0avi൦ pahaadapur kaksh sam൦  १,pahaadapur ,pahaadapur,praa avi pahaadapur sam,wefdo pahaadapur
kaanapur dehaath, 2praathamik paathasaalaa phaththepur bakoothiyaa ,phaththapur bakoothiyaa ,phaththapur bakoothiyaa,praathamik paathasaalaa phaththepur bakoothiyaa,paathasaalaa phaththehapur bakoothiyaa
goorakhapur, 80s0 kaa0 ee0 kaa0 koudeeraam ,koud഼eeraam ,koudeeraam,s kaa ee kaa koudeeraam,s ak aee akaa koudeeraam
phararookhaabaad, 272phathehaul‍laapur ,phathehaullaapur ,phathehaullaapur,phathehaullaapur,praaimaree paathasaalaa phathehaullaapur
mirjaapur, 212praa0avi0 barabakapur sthith graam majhhiyaar ,barabakapur ,barabakapur,praa avi barabakapur graam majhhiyaar,praa aevi barabakapur graam majhhiyaar
phiroojaabaad, 338praa0avi0 bemdeepur bidarakhaa ,baimdeepur bidarakhaa ,baimdeepur bidarakhaa,praa avi bemdeepur bidarakhaa,praaevi bemdeepur bidarakhaa
mahaaraajagamj, 300praa0apaa0 semaraa ,SANT ,sant,praa apaa semaraa,praaepaa semaraa
baharaaich, 85praa0avi൦-dharamapur k0anam൦-൧ ,dharamapur ,dharamapur,praa avidharamapur k anam,praaevidharamapur
gaajiyaabaad, 101dee e vee p0 skool raajendr nagar ,gaajiyaabaad ,gaajiyaabaad,101dee vee p0 skool raajendr nagar,dee vee p skool raajendr nagar
phaijaabaad, 259praathamik vidyaalay meenaapur ,meenaapur phagaalee ,meenaapur phagaalee,praathamik meenaapur,meenaapur
siddhaarthanagar, 5thadhathuaa ,NA,NA,thadhathuaa,praa avi thadhuaa
goondaa, 397praaimaree paathasaalraa deeh bhoopathapur ,bhoopathapur ,bhoopathapur,praaimaree paathasaalraa deeh bhoopathapur,praaimaree paathasaalaa deeh bhoopathapur
merath, 100kaaryaalay taaun eriyaa k0an0-1 kithour ,kithour ,kithour,kaaryaalay taaun eriyaa k an kithour,kaaryaalay taaun eriyaa kithour
