district_std,ps_name_t13n,main_town_t13n,village_cand_1_std,village_cand_2_std,village_cand_3_std
bheelavaadaa,86soojee kaa khedaa,soojee kaa khedaa,soojee kaa khedaa,soojee khedaa,raajakeey vidayaalay soojee khedaa kamaraa soojee khedaa
hanumaanagadh,137naaeevaalaa,9seedeeaar (naaeevaalaa,seedeeaar naaeevaalaa,naaeevaalaa,raajakeey baayaam naaeevaalaa
jaisalamer,107suganapuraa,suganapuraa,suganapuraa,suganapuraa,raajakeey suganapuraa
joodhapur,125baavad഼ee,baavadee,baavadee,baavadee,raajakeey baavadee baamyaa
qe,110kaadiyaa,kaadiyaa,kaadiyaa,kaadiyaa,raajakeey kaadiyaa
beekaaner,baayaam bhaag sammevaalaa,Sammewala,sammewala,baayaam sammevaalaa,raajakeey vighaalay baamyaa sammevaalaa
paalee,158basanan‍th,Basant,basant,basananth,raajakeey aadars daayaam basamth
jayapur,19dhoulaa,arjunapuraa,arjunapuraa,dhoulaa,raajakeey arjunapuraa
toumk,89aavaam,aaamvaa,aaamvaa,aavaam,raajakeey aavaam
alavar,225gooth (sreenagar,Goth,goth,gooth sreenagar,raajakeey gooth
raajasamand,8baamanatukadaa,baamanatukad഼aa,baamanatukadaa,baamanatukadaa,raajakeey aadars baamanatukadaa
udayapur,138seesavee,seesavee,seesavee,seesavee,raajakeey vidhaalay sisaveedaayaa
toumk,198uniyaaraa,uniyaaraa,uniyaaraa,uniyaaraa,raanee suseel kavamr vivekaanand vidayaalay uniyaaraa
४baadamer,191war qelear,nayaa bhuratiyaa,nayaa bhuratiyaa,191war qelear,raajakeey nayaa bhuratiyaa
baadamer,231baayaam bhaag gudaamaalaanee,Gudhamalani,gudhamalani,baayaam gudaamaalaanee,raajakeey aadars kanyaa baayaam gudaamaalaanee
ajamer,"149subhaash nagar, ajamer",ajamer (nagar nigam,ajamer nagar nigam,subhaash nagar ajamer,raajakeey vidyaayal subhaashanagar ajamer kamaraa
booadee,104nainavaam,०nenavaam,nenavaam,nainavaam,raajakeey baalikaa toodaa pool nainavaam
savaaeemaadhoopur,46fact,khiranee,khiranee,fact,raajakeey baalikaa khiranee utharee
jayapur,95mandaa bhoupaavaas,mandaa bhoopaavaas,mandaa bhoopaavaas,mandaa bhoupaavaas,raajakeey praathamikvidhaalay mandaa bhoupaavaas kamaraa
jhhaalaavaad,257kootadee,Kotri,kotri,kootadee,raajakeey
paalee,21raamaasiyaa,Ramasiya,ramasiya,raamaasiyaa,raajakeey raamaasiyaa
baamsavaadaa,13mahudeeyaavajaa,mah൒adiyaavajjaa,mahadiyaavajjaa,mahudeeyaavajaa,raajakeey vidhaalay mahudeeyaavajaa
karoulee,222guradah,KOTRA,kotra,guradah,raajakeey kootaraa
udayapur,195khumaanapuraa,khumaanapuraa,khumaanapuraa,khumaanapuraa,raajakeey vidhaalay khumaanapuraakasaniyaavad
